date,model_version,code,name,ticker,close,ver6_score,ver6_rank_number,ver6_rank_letter,ver6_signal,ver6_selected,quality_gate,rsi,return_1d,return_5d_past,return_20d_past,momentum_acceleration,ma25_distance,drawdown_60d_high,atr14,signal_id,signal_start_date,signal_start_price,signal_age,days_outside_gate,first_signal_return,previous_ver6_rank,rank_velocity,score_velocity,phase,action,ver7_entry,buy_zone_low,buy_zone_high,ver6_stop,ver6_take_profit,atr_stop,swing_stop
2026-08-19,7.0,9602,東宝,9602.T,1535.0,81.0,92,E,対象外,False,False,60.4,0.95,2.81,6.97,1.07,4.25,-3.97,49.93,,,,,0,,161.0,69.0,15.900000000000006,,SKIP,False,1489.0,1566.0,1412.0,1765.0,1460.1,1326.8
2026-08-19,7.0,3861,王子ホールディングス,3861.T,854.5,80.9,93,E,対象外,False,False,48.0,-1.37,-2.18,0.08,-2.2,-1.3,-4.68,17.04,,,,,0,,111.0,18.0,0.2000000000000028,,SKIP,False,829.0,872.0,786.0,983.0,828.9,838.3
2026-08-19,7.0,7261,マツダ,7261.T,1134.5,80.5,94,E,対象外,False,False,46.5,-4.18,-2.66,-2.66,-1.99,-1.97,-7.05,35.16,,,,,0,,98.0,4.0,-3.5999999999999943,,SKIP,False,1100.0,1157.0,1044.0,1305.0,1081.8,1089.5
2026-08-19,7.0,9434,ソフトバンク,9434.T,232.4,80.3,95,E,対象外,False,False,58.8,-0.68,1.35,4.64,0.19,2.35,-1.48,4.91,,,,,0,,81.0,-14.0,-8.5,,SKIP,False,225.0,237.0,214.0,267.0,225.0,217.2
2026-08-19,7.0,6861,キーエンス,6861.T,79650.0,84.7,83,E,対象外,False,False,46.9,-5.33,-8.66,10.69,-11.33,0.24,-9.14,2903.11,,,,,0,,74.0,-9.0,-6.0,,SKIP,False,77260.0,81243.0,73278.0,91598.0,75295.3,69600.2
2026-08-19,7.0,4507,塩野義製薬,4507.T,2859.0,80.0,96,E,対象外,False,False,50.8,0.99,1.35,-1.41,1.7,-0.14,-6.87,72.25,,,,,0,,114.0,18.0,0.0,,SKIP,False,2773.0,2916.0,2630.0,3288.0,2750.6,2718.3
2026-08-19,7.0,7013,IHI,7013.T,2773.0,78.8,98,E,対象外,False,False,46.7,-7.18,-4.26,-0.25,-4.2,-1.73,-9.7,136.12,,,,,0,,75.0,-23.0,-11.700000000000005,,SKIP,False,2690.0,2828.0,2551.0,3189.0,2568.8,2595.0
2026-08-19,7.0,4188,三菱ケミカルグループ,4188.T,1132.0,78.6,99,E,対象外,False,False,43.0,-4.35,-9.19,-5.11,-7.91,-4.7,-9.19,40.03,,,,,0,,68.0,-31.0,-13.600000000000009,,SKIP,False,1098.0,1155.0,1041.0,1302.0,1072.0,1095.0
2026-08-19,7.0,5406,神戸製鋼所,5406.T,1989.0,78.5,100,E,対象外,False,False,49.3,-2.98,-0.6,0.99,-0.85,-0.77,-4.24,49.76,,,,,0,,108.0,8.0,-3.0,,SKIP,False,1929.0,2029.0,1830.0,2287.0,1914.4,1909.9
2026-08-19,7.0,8252,丸井グループ,8252.T,2948.0,78.4,101,E,対象外,False,False,50.9,0.22,-1.32,-1.49,-0.95,-0.35,-4.75,58.64,,,,,0,,123.0,22.0,0.7000000000000028,,SKIP,False,2860.0,3007.0,2712.0,3390.0,2860.0,2821.3
2026-08-19,7.0,8804,東京建物,8804.T,3312.0,78.0,102,E,対象外,False,False,45.2,-0.75,-1.95,-5.88,-0.48,-2.63,-6.12,80.0,,,,,0,,115.0,13.0,-1.4000000000000057,,SKIP,False,3213.0,3378.0,3047.0,3809.0,3192.0,3228.8
2026-08-19,7.0,5803,フジクラ,5803.T,5328.0,77.2,103,E,対象外,False,False,52.5,-9.73,-8.14,14.04,-11.65,9.31,-17.87,450.05,,,,,0,,104.0,1.0,-5.799999999999997,,SKIP,False,5168.0,5435.0,4902.0,6127.0,4652.9,3646.7
2026-08-19,7.0,4502,武田薬品工業,4502.T,5769.0,77.2,104,E,対象外,False,False,62.1,1.18,3.72,3.85,2.76,4.12,-1.33,129.58,,,,,0,,133.0,29.0,1.7999999999999972,,SKIP,False,5596.0,5884.0,5307.0,6634.0,5574.6,5198.9
2026-08-19,7.0,9983,ファーストリテイリング,9983.T,74940.0,77.1,105,E,対象外,False,False,36.6,-0.09,-3.98,-7.3,-2.16,-4.16,-14.74,2008.35,,,,,0,,127.0,22.0,0.5,,SKIP,False,72692.0,76439.0,68945.0,86181.0,71927.5,73888.7
